         7433371 function calls (7304118 primitive calls) in 5.823 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1100    0.001    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:870(limit)
      501    0.002    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexing.py:1719(_getitem_axis)
      105    0.002    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\frame.py:4271(__setitem__)
    19600    0.021    0.000    0.034    0.000 C:\Users\hp\AppData\Local\Programs\Python\Python311\Lib\pickle.py:491(memoize)
    28599    0.020    0.000    0.034    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\sklearn\utils\_array_api.py:209(_is_numpy_namespace)
     1886    0.001    0.000    0.033    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\dtypes\missing.py:101(isna)
     4853    0.005    0.000    0.033    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\_core\fromnumeric.py:2241(clip)
      612    0.003    0.000    0.033    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\frame.py:3983(_ixs)
     1100    0.002    0.000    0.033    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\threadpoolctl.py:581(__init__)
      574    0.033    0.000    0.033    0.000 {built-in method nt._getfinalpathname}
      200    0.000    0.000    0.032    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\indexes\base.py:6162(get_indexer_for)
    57935    0.018    0.000    0.032    0.000 {built-in method _abc._abc_instancecheck}
     1800    0.003    0.000    0.032    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\numpy\lib\_arraysetops_impl.py:145(unique)
     1886    0.004    0.000    0.032    0.000 D:\mini project\FPO\FINAL\env\Lib\site-packages\pandas\core\dtypes\missing.py:184(_isna)
